,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
1334,"frozenset({'Raisins', 'Other Dals'})",frozenset({'Cashews'}),0.05626204238921002,0.12369942196531791,0.03198458574181118,0.5684931506849316,4.595762386378185,1.0,0.025025003619677685,2.0307918157629143,0.8290524285791595,0.21614583333333337,0.5075812339610367,0.413530064439039
1335,frozenset({'Cashews'}),"frozenset({'Raisins', 'Other Dals'})",0.12369942196531791,0.05626204238921002,0.03198458574181118,0.25856697819314645,4.595762386378185,1.0,0.025025003619677685,1.2728566571137125,0.8928537368471247,0.21614583333333337,0.21436558122140265,0.413530064439039
1359,frozenset({'Cashews'}),"frozenset({'Raisins', 'Whole Spices'})",0.12369942196531791,0.057803468208092484,0.03275529865125241,0.264797507788162,4.580996884735203,1.0,0.025605043046320736,1.2815469775644166,0.8920533912773553,0.22020725388601037,0.21969306041320263,0.41573208722741434
1358,"frozenset({'Raisins', 'Whole Spices'})",frozenset({'Cashews'}),0.057803468208092484,0.12369942196531791,0.03275529865125241,0.5666666666666667,4.580996884735202,1.0,0.025605043046320736,2.022232103156959,0.8296643810898592,0.22020725388601037,0.5054969217238346,0.41573208722741434
1337,frozenset({'Raisins'}),"frozenset({'Cashews', 'Other Dals'})",0.11098265895953757,0.06319845857418112,0.03198458574181118,0.2881944444444445,4.560149898373984,1.0,0.024970652767104373,1.3160919216128577,0.8781706801196986,0.22493224932249326,0.240174653777595,0.3971460027100271
1332,"frozenset({'Cashews', 'Other Dals'})",frozenset({'Raisins'}),0.06319845857418112,0.11098265895953757,0.03198458574181118,0.5060975609756098,4.560149898373984,1.0,0.024970652767104373,1.799985727538714,0.8333771119029801,0.22493224932249326,0.4444400393288718,0.3971460027100271
132,frozenset({'Cashews'}),frozenset({'Raisins'}),0.12369942196531791,0.11098265895953757,0.057418111753371866,0.46417445482866043,4.182405244029076,1.0,0.04368962099190306,1.6591544562441187,0.868312939384817,0.32391304347826083,0.3972833594626674,0.49076778296988577
133,frozenset({'Raisins'}),frozenset({'Cashews'}),0.11098265895953757,0.12369942196531791,0.057418111753371866,0.517361111111111,4.182405244029075,1.0,0.04368962099190306,1.8156443631222188,0.85589233817125,0.32391304347826083,0.44923134711228374,0.49076778296988577
2725,"frozenset({'Urad Dal', 'Avalakki / Poha'})","frozenset({'Raw Peanuts', 'Other Dals'})",0.06897880539499036,0.10944123314065511,0.03044315992292871,0.44134078212290506,4.032673695806122,1.0,0.022894034399931693,1.5941001926782274,0.807742685891525,0.20572916666666666,0.3726868583335952,0.3597548981037061
2720,"frozenset({'Raw Peanuts', 'Other Dals'})","frozenset({'Urad Dal', 'Avalakki / Poha'})",0.10944123314065511,0.06897880539499036,0.03044315992292871,0.27816901408450706,4.032673695806122,1.0,0.022894034399931693,1.2898049720381597,0.844442375211564,0.20572916666666666,0.22468898656841715,0.3597548981037061
7150,"frozenset({'Whole Spices', 'Sooji & Rava', 'Urad Dal'})","frozenset({'Raw Peanuts', 'Sugar'})",0.08940269749518305,0.09017341040462427,0.03198458574181118,0.3577586206896552,3.9674513704686123,1.0,0.02392283960929756,1.4166427435310551,0.8213828653590239,0.21671018276762405,0.2941057266792271,0.35622973769525496
7159,"frozenset({'Raw Peanuts', 'Sugar'})","frozenset({'Whole Spices', 'Sooji & Rava', 'Urad Dal'})",0.09017341040462427,0.08940269749518305,0.03198458574181118,0.3547008547008547,3.967451370468612,1.0,0.02392283960929756,1.4111242965968689,0.8220786577057914,0.21671018276762405,0.29134520437948286,0.35622973769525496
1361,frozenset({'Raisins'}),"frozenset({'Cashews', 'Whole Spices'})",0.11098265895953757,0.07514450867052024,0.03275529865125241,0.2951388888888889,3.9276175213675213,1.0,0.024415561272790046,1.3121102537088185,0.8384456513424615,0.21356783919597985,0.23786892361111112,0.36551816239316237
